Product Name,Product Price,Product Code,Model Number,Product Category,Product Description,
Quill Brand® 100% Recycled Hanging File Folders,$18.59,901-7Q5215,7Q5215,Accessories,Quill Brand Standard Hanging File Folders Make Filing Easier
Pendaflex® SureHook® 5-Tab Hanging File Folders,$24,79,901-615215, 6152 1/5,Accessories,Pendaflex SureHook hanging file folders feature longer plastic hooks and built-in tension springs that keep your filing system in order.
Staples Reinforced Box Bottom Hanging File Folder ,$26.99,901-884240,TR20027,Accessories,Arrange bulk files neatly inside these Staples Business Essentials letter-size standard green hanging file folders
Pendaflex SureHook 5-Tab Hanging File Folders,$27.99, 901-615215AD, 6152 1/5 ASST,Accessories,Pendaflex SureHook multicolored five-tab letter-sized hanging folders have longer hooks for a better fit.
Smead FasTab Hanging File Folders ,$25.99,901-64053QL,64053,Accessories,These files' durable construction withstands everyday use, so you can use them often
Staples Hanging File Folder Green,$29.99,901-266262,TR266262,Accessories,Build a customized filing system with these Staples letter-size standard green hanging file folders
Staples Hanging File Folder Purple,&29.99,901-419200,TR419200,Accessories,Extend the life span of critical documents using these Staples letter-size purple hanging file folders
Quill Brand® File Folders Manila,$14.49,901-740137, A113,Accessories,Make filing documents easy with these  standard letter-size manila file folders
Staples Hanging File Folder,$15.99,901-163519,TR163519,Accessories,Color-code client files and business documents with this Staples five-tab letter-size yellow hanging file folder.
Quill Brand® Hanging File Folders,$25.99,901-7387QGR,7387QGR,Accessories,Quill Brand Hanging File Folders Offer Sturdy Storage
